name,artist,album,album_type,release_date,duration,duration_ms,added_at,added_by_id,track_popularity,track_id,track_uri,artist_uris,artist_names,enriched,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_genres,artists_popularities,artists_avg_popularity
Tears can be so soft,Christine and the Queens,Tears can be so soft,single,2023-05-09,5:11,311928,2023-05-14T20:00:00Z,1110446304,34,47UhZ9fjTEIOjOe4gktZN9,spotify:track:47UhZ9fjTEIOjOe4gktZN9,['spotify:artist:04vj3iPUiVh5melWr0w3xT'],['Christine and the Queens'],True,0.499,0.483,6.0,-8.215,1.0,0.0321,0.0105,0.272,0.374,0.0558,146.974,4.0,"[['art pop', 'electro-pop francais', 'metropopolis', 'shimmer pop']]",[55],55.0
Strings of Eden,Alex Kassian,Strings of Eden,single,2023-05-05,8:37,517206,2023-05-15T12:53:46Z,115458813,33,2nFGIC472JfEAskv3z8iBs,spotify:track:2nFGIC472JfEAskv3z8iBs,['spotify:artist:3YcfGOBLEsPKVZj5Ecu0QY'],['Alex Kassian'],True,0.715,0.599,9.0,-11.365,0.0,0.036,0.711,0.916,0.0507,0.918,119.983,4.0,[[]],[25],25.0
Everyone's Moving Out East,Half Moon Run,Everyone's Moving Out East,single,2023-05-18,4:12,252293,2023-05-19T06:23:01Z,svdpal,15,60dqxfmPMO7eTq02vTBOFm,spotify:track:60dqxfmPMO7eTq02vTBOFm,['spotify:artist:3ceQN2NVlLg1hgTzljDE4n'],['Half Moon Run'],True,0.453,0.525,4.0,-10.025,1.0,0.0309,0.0408,0.0542,0.143,0.202,91.999,4.0,"[['canadian indie', 'indie folk', 'quebec indie']]",[55],55.0
Walking Backwards,Ben Howard,Walking Backwards,single,2023-05-19,5:19,319986,2023-05-19T06:32:57Z,svdpal,33,4Q1FWaLV4jIJJvdtihAwvI,spotify:track:4Q1FWaLV4jIJJvdtihAwvI,['spotify:artist:5schNIzWdI9gJ1QRK8SBnc'],['Ben Howard'],True,0.662,0.816,8.0,-8.933,1.0,0.039,0.0782,0.652,0.178,0.343,111.607,4.0,"[['british singer-songwriter', 'folk-pop', 'indie folk']]",[63],63.0
Say Yes To Heaven,Lana Del Rey,Say Yes To Heaven,single,2023-05-19,3:29,209156,2023-05-22T06:41:08Z,1110446304,87,6GGtHZgBycCgGBUhZo81xe,spotify:track:6GGtHZgBycCgGBUhZo81xe,['spotify:artist:00FQb4jTyendYWaN8pK0wa'],['Lana Del Rey'],True,0.49,0.352,6.0,-11.577,0.0,0.0254,0.709,0.0856,0.114,0.166,99.992,4.0,"[['art pop', 'pop']]",[89],89.0
Enough,"Fred again.., Brian Eno",Secret Life,album,2023-05-05,5:22,322499,2023-05-25T07:17:24Z,hvdpal58,54,2qMLbeUM1IunPifKpvzqDx,spotify:track:2qMLbeUM1IunPifKpvzqDx,"['spotify:artist:4oLeXFyACqeem2VImYeBFe', 'spotify:artist:7MSUfLeTdDEoZiJPDSBXgi']","['Fred again..', 'Brian Eno']",True,0.15,0.208,10.0,-16.901,1.0,0.0409,0.936,0.755,0.218,0.0759,85.706,4.0,"[['edm', 'house', 'stutter house'], ['ambient', 'art pop', 'art rock', 'compositional ambient', 'experimental', 'experimental ambient', 'fourth world', 'glam rock', 'minimalism', 'singer-songwriter']]","[77, 59]",68.0
oxalá,MARO,hortelã,album,2023-04-07,4:30,270635,2023-05-25T12:05:33Z,svdpal,41,7mAJkfcgzu9NWSxZzgc94e,spotify:track:7mAJkfcgzu9NWSxZzgc94e,['spotify:artist:3NP4jJcW3R6qO6rbtnH0wn'],['MARO'],True,0.462,0.203,9.0,-13.764,1.0,0.0309,0.888,0.0,0.0948,0.302,148.578,1.0,[['musica portuguesa contemporanea']],[51],51.0
Dance The Night - From Barbie The Album,Dua Lipa,Dance The Night (From Barbie The Album),single,2023-05-25,2:56,176579,2023-05-26T07:14:03Z,1110446304,89,1vYXt7VSjH9JIM5oRRo7vA,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,['spotify:artist:6M2wZ9GZgrQXHCFfjv46we'],['Dua Lipa'],True,0.671,0.845,11.0,-4.93,0.0,0.048,0.0207,0.0,0.329,0.775,110.056,4.0,"[['dance pop', 'pop', 'uk pop']]",[86],86.0
Astrology Poisoning,Avalon Emerson,& the Charm,album,2023-04-28,3:39,219833,2023-05-31T12:18:37Z,115458813,45,2vYd15dPYelxBESvyviVbf,spotify:track:2vYd15dPYelxBESvyviVbf,['spotify:artist:4yrO1N273PlTaixa4BNwBz'],['Avalon Emerson'],True,0.664,0.746,5.0,-6.999,1.0,0.0316,0.281,0.0589,0.0457,0.776,93.0,4.0,"[['electra', 'float house']]",[36],36.0
De Vergiffenis,Sophie Straat,Smartlap Is Niet Dood,album,2023-03-03,2:54,174967,2023-05-31T15:34:40Z,1110446304,34,112BxBbiiPs82A4B99v18s,spotify:track:112BxBbiiPs82A4B99v18s,['spotify:artist:6SU1jFBqw4tZJQDT8iQ6Nw'],['Sophie Straat'],True,0.473,0.318,3.0,-10.808,0.0,0.0293,0.561,0.0057,0.0924,0.199,157.608,3.0,[['dutch indie']],[35],35.0
